run,best,mean,completion,crashes,best_lap,fitness,reward,progress
1,13.309895005761813,-4.023259211445908,0.0,0.5,,13.309895005761813,,0.19932892882966563
2,13.411442518702458,5.293085887313127,0.0,0.8333333333333334,,13.411442518702458,,0.19986442518702457
3,19.913303958117737,10.495438198568941,0.0,0.9166666666666666,,19.913303958117737,,0.2698330395811774
4,21.765519549910962,11.486074272435472,0.0,0.9166666666666666,,21.765519549910962,,0.2891051954991096
5,21.765519549910962,11.41860739620361,0.0,0.875,,21.765519549910962,,0.2891051954991096
6,21.797620127790157,15.54250913986481,0.0,0.875,,21.797620127790157,,0.2894262012779016
7,28.05516169732008,18.816065800201464,0.0,0.8333333333333334,,28.05516169732008,,0.3560516169732008
8,28.05516169732008,12.620071317857485,0.0,0.75,,28.05516169732008,,0.3560516169732008
9,28.05516169732008,16.697169888430594,0.0,0.875,,28.05516169732008,,0.3560516169732008
10,28.05516169732008,10.642486161994839,0.0,0.75,,28.05516169732008,,0.3560516169732008
11,51.40288436634361,11.826839300176019,0.0,0.7083333333333334,,51.40288436634361,,0.6043788436634361
12,198.37019529795484,19.25496137120975,0.041666666666666664,0.7083333333333334,408,198.37019529795484,,1.0
13,267.8407947824885,51.05467276631029,0.125,0.8333333333333334,408,267.8407947824885,,1.0
14,267.8407947824885,54.38539081232341,0.125,0.9166666666666666,426,267.8407947824885,,1.0
15,276.1916624702933,79.14543774176602,0.20833333333333334,0.75,406,276.1916624702933,,1.0
16,276.1916624702933,96.68028735153443,0.2916666666666667,0.7083333333333334,398,276.1916624702933,,1.0
17,277.1548285572871,166.62401016955883,0.5833333333333334,0.375,403,277.1548285572871,,1.0
18,277.1548285572871,146.91363641413696,0.5,0.4166666666666667,403,277.1548285572871,,1.0
19,278.80474264792406,162.39044383857228,0.5416666666666666,0.5,400,278.80474264792406,,1.0
20,278.80474264792406,122.5047037471151,0.375,0.5416666666666666,400,278.80474264792406,,1.0
21,278.80474264792406,166.17200318874515,0.5833333333333334,0.5416666666666666,399,278.80474264792406,,1.0
22,278.80474264792406,138.01681742329606,0.4583333333333333,0.6666666666666666,398,278.80474264792406,,1.0
23,278.8862650607713,160.26692057260001,0.5833333333333334,0.5833333333333334,399,278.8862650607713,,1.0
24,278.8862650607713,161.74695984195765,0.5416666666666666,0.5416666666666666,399,278.8862650607713,,1.0
25,279.77493332156325,179.04744583826655,0.5833333333333334,0.4166666666666667,398,279.77493332156325,,1.0
26,279.77493332156325,176.52733954083678,0.5833333333333334,0.4583333333333333,398,279.77493332156325,,1.0
27,279.92975832547575,157.71073038766986,0.5,0.5833333333333334,398,279.92975832547575,,1.0
28,279.92975832547575,150.61833535987085,0.5,0.625,398,279.92975832547575,,1.0
29,279.92975832547575,154.59700022099295,0.5,0.625,398,279.92975832547575,,1.0
30,279.92975832547575,180.52876765975395,0.625,0.5416666666666666,396,279.92975832547575,,1.0
